"","PCs","Accuracy","Sensitivity","Specificity","MRD_best_cut","P_value","adj_P_value_BH","adj_P_value_bonferroni"
"1","2, 3, 4, 5, 10",22,11,11,0.000684988947777198,2.8351421540276e-06,0.00136281525926795,0.00290035042357024
"2","4, 5, 10",22,11,11,0,2.8351421540276e-06,0.00136281525926795,0.00290035042357024
"3","2, 3, 5, 10",21,11,10,0.00120006122093771,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"4","2, 4, 5, 10",21,11,10,0.000339384129655625,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"5","1, 2, 4, 5, 10",21,10,11,0.00236981764796047,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"6","1, 2, 3, 4, 5, 10",21,10,11,0.00196179889686696,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"7","3, 4, 5, 10",21,10,11,0.00189490956611546,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"8","1, 4, 5, 10",21,10,11,0.0017714148312457,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"9","2, 3, 4, 10",21,10,11,0.00164541603930391,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"10","1, 3, 4, 10",21,10,11,0.00140275645082507,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"11","1, 3, 4, 5, 10",21,10,11,0.00133162497937576,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"12","1, 2, 3, 4, 10",21,10,11,0.00128268817993857,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"13","3, 4, 10",21,10,11,0.00117746929105387,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"14","2, 4, 10",21,10,11,0.00029493405665589,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"15","4, 10",21,10,11,0.000145608944887618,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"16","1, 4, 10",21,10,11,9.75188524684339e-05,3.40217058483312e-05,0.00136281525926795,0.0348042050828428
"17","1, 3, 4, 5, 9, 10",20,11,9,0.014888175722435,0.000221141088014154,0.00136281525926795,0.226227333038479
"18","1, 2, 3, 4, 5, 9, 10",20,11,9,0.014035252928699,0.000221141088014154,0.00136281525926795,0.226227333038479
"19","2, 3, 4, 5, 9, 10",20,11,9,0.0134835224725858,0.000221141088014154,0.00136281525926795,0.226227333038479
"20","1, 3, 5, 9, 10",20,11,9,0.0128791100792994,0.000221141088014154,0.00136281525926795,0.226227333038479
"21","1, 2, 4, 5, 9, 10",20,11,9,0.0124862885282588,0.000221141088014154,0.00136281525926795,0.226227333038479
"22","1, 2, 3, 5, 9, 10",20,11,9,0.0122388603630144,0.000221141088014154,0.00136281525926795,0.226227333038479
